Date,PM2.5,PM10,Average CO (mg/m3),Average SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2020-01-11,5.641888888888889,22.15688888888889,0.156198125,2.299961466666667,45.9252167,24.1317387,59,4.0,317,11.3,273,0.0,16.1,14.4,82.0,28.1,13.9,-,-,-,-,-,-,1011.9,1011.2,-,14.98,4533.8125,275.953125
2020-01-12,3.959888888888889,14.611222222222223,0.14258675,2.5414151666666664,22.0478268,16.8365211,74,2.7,316,13.4,348,0.0,24.0,17.4,49.0,31.9,16.0,-,-,-,-,-,-,1003.8,1003.1,-,24.82,4266.464673913043,245.703125
2020-01-13,5.3438888888888885,17.22511111111111,0.130175,1.6377316333333336,75.4117355,30.9691296,18,1.2,241,9.8,206,0.0,15.8,11.8,59.0,19.4,12.7,-,-,-,-,-,-,1018.2,1017.5,-,21.01,5095.464673913043,479.221875
2020-01-14,5.485625,16.557875,0.13921892500000002,1.7486118,80.2178268,32.1621742,34,1.7,52,8.8,209,0.0,14.3,10.6,60.0,19.3,8.6,-,-,-,-,-,-,1027.2,1026.5,-,28.90,5268.78835978836,499.25454545454545
2020-01-15,5.803999999999999,18.065444444444445,0.139871425,1.8339195666666666,76.52565,33.8873901,252,0.9,57,7.2,173,0.0,15.0,11.6,64.0,18.9,7.6,-,-,-,-,-,-,1025.4,1024.7,-,25.29,5511.644549763033,531.5729729729729
2020-01-16,5.009888888888889,18.291555555555554,0.126972875,1.96756165,70.8569565,28.619566,22,1.7,48,11.8,355,0.0,14.5,11.2,65.0,18.5,7.9,-,-,-,-,-,-,1025.4,1024.7,-,29.65,5901.0,550.1452513966481
2020-01-17,3.876555555555556,14.399555555555557,0.122657725,1.7736531333333332,63.8934784,23.5621738,27,3.0,53,11.8,373,0.0,15.6,12.5,68.0,19.6,12.9,-,-,-,-,-,-,1023.2,1022.5,-,27.66,6058.094527363184,538.5141242937854
2020-01-18,3.9237777777777776,14.303333333333333,0.09820219999999999,1.9730828333333335,34.362175,19.137392,35,3.9,54,11.8,268,0.0,15.7,11.9,61.0,19.8,13.9,-,-,-,-,-,-,1021.2,1020.5,-,29.76,4986.425641025641,295.71098265895955
2020-01-19,3.2993333333333337,11.354888888888889,0.094715375,1.5832335999999998,27.5152378,14.2533331,11,1.5,65,8.2,218,0.0,15.8,13.0,71.0,21.0,11.3,-,-,-,-,-,-,1020.2,1019.5,-,28.92,4784.0641025641025,275.2456647398844
2020-01-20,3.447777777777778,9.657444444444444,0.10913442500000001,1.5279356333333334,45.5321732,20.3469563,5,1.3,34,8.8,215,0.0,15.4,14.3,88.0,21.3,13.7,-,-,-,-,-,-,1018.7,1018.0,-,24.09,5606.65228426396,547.8757225433526
2020-01-21,3.6797500000000003,12.119444444444445,0.11662594999999999,2.0328297666666666,45.4614296,15.9961901,38,2.1,80,10.3,320,0.0,17.9,15.9,80.0,22.3,15.2,-,-,-,-,-,-,1017.3,1016.6,-,22.41,6297.952095808383,610.1879194630873
2020-01-22,6.112777777777778,18.926000000000002,0.14862435,2.220289166666667,68.3882599,31.0669575,59,2.8,58,8.2,149,0.0,17.4,15.7,83.0,23.5,16.6,-,-,-,-,-,-,1013.2,1012.5,-,18.82,6337.965408805031,621.7587412587412
2020-01-23,6.994,21.527333333333335,0.1124825,2.6171956,35.9565201,27.1499996,231,1.5,222,12.4,273,0.0,23.5,17.3,51.0,27.4,13.6,-,-,-,-,-,-,1012.3,1011.6,-,25.66,6361.75796178344,600.9574468085107
2020-01-24,6.402444444444445,21.37188888888889,0.152955825,2.160985933333333,57.0456505,31.9026089,48,3.4,52,11.3,361,0.0,18.3,15.4,72.0,21.8,14.6,-,-,-,-,-,-,1017.0,1016.3,-,28.34,6672.969135802469,599.4137931034483
2020-01-25,8.267666666666667,27.97222222222222,0.16053647499999998,1.9551891666666663,29.2786961,21.3795643,38,2.6,230,11.8,294,0.0,17.7,16.2,85.0,27.8,16.2,-,-,-,-,-,-,1012.6,1011.9,-,17.58,5303.634146341464,323.1700680272109
2020-01-26,5.268,11.645999999999999,0.121779825,1.4800492333333335,15.5865221,14.4952173,210,2.6,192,9.3,249,0.0,17.3,15.5,82.0,24.1,15.9,-,-,-,-,-,-,1018.8,1018.1,-,26.57,5019.820121951219,287.28231292517006
2020-01-27,5.669888888888889,15.094777777777779,0.1812181,1.5212176333333334,67.9294739,41.3257904,235,2.7,229,9.8,238,0.0,17.8,16.6,88.0,27.4,16.4,-,-,-,-,-,-,1012.7,1012.0,-,17.24,6016.746951219512,582.6632653061224
2020-01-28,4.346333333333333,13.253333333333334,0.12723505,1.770347433333333,19.054348,15.6830435,220,4.1,199,9.3,320,0.2,18.4,16.3,80.0,25.7,15.7,-,-,-,-,-,-,1014.3,1013.6,-,22.57,6257.208860759493,574.4265734265734
