Date (NZST), Nitrogen Dioxide 24 hr Average (ug/m3) (ug/m3), Data quality code
01/06/2018 00:00:00, 21.793, 200
02/06/2018 00:00:00, 19.43, 200
03/06/2018 00:00:00, 18.453, 200
04/06/2018 00:00:00, 23.235, 200
05/06/2018 00:00:00, 16.361, 200
06/06/2018 00:00:00, 16.97, 200
07/06/2018 00:00:00, 7.982, 200
08/06/2018 00:00:00, 8.834, 200
09/06/2018 00:00:00, 19.59, 200
10/06/2018 00:00:00, 11.395, 200
11/06/2018 00:00:00, 17.975, 200
12/06/2018 00:00:00, 10.503, 200
13/06/2018 00:00:00, 7.162, 200
14/06/2018 00:00:00, 12.913, 200
15/06/2018 00:00:00, 32.601, 200
16/06/2018 00:00:00, 21.396, 200
17/06/2018 00:00:00, 7.644, 200
18/06/2018 00:00:00, 12.391, 200
19/06/2018 00:00:00, 27.205, 200
20/06/2018 00:00:00, 9.989, 200
21/06/2018 00:00:00, 17.54, 200
22/06/2018 00:00:00, 16.834, 200
23/06/2018 00:00:00, 31.635, 200
24/06/2018 00:00:00, 18.82, 200
25/06/2018 00:00:00, 5.206, 200
26/06/2018 00:00:00, 20.845, 200
27/06/2018 00:00:00, 13.27, 200
28/06/2018 00:00:00, 25.941, 200
29/06/2018 00:00:00, 34.205, 200
30/06/2018 00:00:00, 30.55, 200
01/07/2018 00:00:00, 25.007, 200
02/07/2018 00:00:00, 7.377, 200
03/07/2018 00:00:00, 16.145, 200
04/07/2018 00:00:00, 19.862, 200
05/07/2018 00:00:00, 32.626, 200
06/07/2018 00:00:00, 25.882, 200
07/07/2018 00:00:00, 15.722, 200
08/07/2018 00:00:00, 5.572, 200
09/07/2018 00:00:00, 4.356, 200
10/07/2018 00:00:00, 11.314, 200
11/07/2018 00:00:00, 20.307, 200
12/07/2018 00:00:00, 19.504, 200
13/07/2018 00:00:00, 22.123, 200
14/07/2018 00:00:00, 19.765, 200
15/07/2018 00:00:00, 20.612, 200
16/07/2018 00:00:00, 20.391, 200
17/07/2018 00:00:00, 14.902, 200
18/07/2018 00:00:00, 23.568, 200
19/07/2018 00:00:00, 29.495, 200
20/07/2018 00:00:00, 15.449, 200
21/07/2018 00:00:00, 14.5, 200
22/07/2018 00:00:00, 6.253, 200
23/07/2018 00:00:00, 5.351, 200
24/07/2018 00:00:00, 17.008, 200
25/07/2018 00:00:00, 17.068, 200
26/07/2018 00:00:00, 25.168, 200
27/07/2018 00:00:00, 16.477, 200
28/07/2018 00:00:00, 13.779, 200
29/07/2018 00:00:00, 7.746, 200
30/07/2018 00:00:00, 7.498, 200
31/07/2018 00:00:00, 21.894, 200
01/08/2018 00:00:00, 20.198, 200
02/08/2018 00:00:00, 9.802, 200
03/08/2018 00:00:00, 10.87, 200
04/08/2018 00:00:00, 25.19, 200
05/08/2018 00:00:00, 15.876, 200
06/08/2018 00:00:00, 24.336, 200
07/08/2018 00:00:00, 23.622, 200
08/08/2018 00:00:00, 20.061, 200
09/08/2018 00:00:00, 11.915, 200
10/08/2018 00:00:00, 26.631, 200
11/08/2018 00:00:00, 19.284, 200
12/08/2018 00:00:00, 18.467, 200
13/08/2018 00:00:00, 17.406, 200
14/08/2018 00:00:00, 24.802, 200
15/08/2018 00:00:00, 26.582, 200
16/08/2018 00:00:00, 12.907, 200
17/08/2018 00:00:00, 12.67, 200
18/08/2018 00:00:00, 15.058, 200
19/08/2018 00:00:00, 11.249, 200
20/08/2018 00:00:00, 20.487, 200
21/08/2018 00:00:00, 26.817, 200
22/08/2018 00:00:00, 8.654, 200
23/08/2018 00:00:00, 14.762, 200
24/08/2018 00:00:00, 17.743, 200
25/08/2018 00:00:00, 7.89, 200
26/08/2018 00:00:00, 15.052, 200
27/08/2018 00:00:00, 18.358, 200
28/08/2018 00:00:00, 10.469, 200
29/08/2018 00:00:00, 14.213, 200
30/08/2018 00:00:00, 22.028, 200
31/08/2018 00:00:00, 21.935, 200
01/09/2018 00:00:00, 11.523, 200
02/09/2018 00:00:00, 8.134, 200
03/09/2018 00:00:00, 10.861, 200
04/09/2018 00:00:00, 10.382, 200
05/09/2018 00:00:00, 6.184, 200
06/09/2018 00:00:00, 6.732, 200
07/09/2018 00:00:00, 7.132, 200
08/09/2018 00:00:00, 7.981, 200
09/09/2018 00:00:00, 7.598, 200
