Date,Daily Average NO2 (ug/m3),Daily Average O3 (ug/m3),Daily Average CO (mg/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2020-01-22,6.93425,16.08758333333333,0.10779166666666667,5.409708333333334,10.946941176470588,351,3.4,347,13.4,387,0.0,17.8,15.0,73.0,21.6,13.1,9.6,-,19.8,20.2,-,17.5,1016.1,1010.2,1.5,10.98,8979.1267281106,435.47222222222223
2020-01-23,8.175,10.820333333333332,0.0972608695652174,5.297791666666667,11.168166666666666,359,6.2,3,12.4,272,0.0,19.7,17.0,75.0,23.4,17.6,15.6,-,19.0,19.2,-,17.6,1014.5,1008.6,3.8,15.70,9332.264840182648,417.3777777777778
2020-01-24,10.419625,19.089791666666667,0.12683333333333333,5.834125,9.19675,154,0.8,343,11.8,291,0.0,21.0,18.2,75.0,27.1,16.4,15.9,-,20.1,19.9,-,17.7,1017.0,1011.1,12.9,28.42,8128.340182648401,248.86111111111111
2020-01-25,7.270875,20.627208333333332,0.11275,5.5717083333333335,12.6805,21,3.2,346,9.8,197,0.0,19.3,15.8,68.0,27.8,12.4,8.4,-,19.1,19.8,-,17.8,1016.0,1010.1,8.0,22.53,7369.258064516129,184.36363636363637
2020-01-26,5.5203043478260865,12.502958333333334,0.10278260869565217,4.645666666666666,11.03375,115,1.5,356,10.8,329,0.0,21.3,17.9,70.0,30.4,13.9,10.1,-,19.5,20.0,-,17.9,1018.5,1012.6,12.3,28.15,8411.518433179723,386.09659090909093
2020-01-27,5.40325,11.222333333333333,0.08795833333333335,3.5340416666666665,6.680791666666667,4,4.5,290,13.4,322,0.0,20.9,18.6,79.0,24.1,20.0,17.6,-,21.7,21.8,-,17.9,1017.1,1011.2,0.6,9.10,8761.838709677419,404.2386363636364
2020-01-28,9.163958333333333,15.632375000000001,0.12670833333333334,7.509166666666666,12.536,31,3.3,340,9.8,333,0.0,22.0,18.5,70.0,28.7,19.0,16.6,-,20.3,20.4,-,18.0,1014.4,1008.5,10.8,26.42,8964.370967741936,417.39204545454544
2020-01-29,7.4950833333333335,19.138291666666667,0.10978260869565216,7.097444444444445,13.372166666666667,359,4.4,307,14.4,507,1.4,20.0,17.9,80.0,24.9,19.9,19.0,-,22.0,22.1,-,18.1,1010.6,1004.7,3.9,16.28,9150.935483870968,427.29545454545456
2020-01-30,7.416916666666666,19.462875,0.10116666666666667,8.501541666666666,22.405708333333333,262,3.6,292,15.4,436,0.0,17.8,17.0,92.0,26.8,17.1,16.8,-,20.5,21.1,-,18.2,1009.8,1003.9,9.4,22.94,9358.937788018433,430.52840909090907
2020-01-31,5.264875,16.5275,0.06733333333333334,9.931416666666667,28.820916666666665,49,4.1,342,17.0,354,0.0,20.6,16.3,62.0,23.9,16.8,13.9,-,19.4,20.3,-,18.3,1012.4,1006.5,3.8,16.24,8399.334101382488,259.34659090909093
2020-02-01,9.595260869565218,18.182666666666666,0.13104166666666667,18.45179166666667,33.48458333333333,34,2.8,18,15.4,444,0.0,20.6,16.4,63.0,27.1,16.5,11.8,-,19.2,20.0,-,18.4,1016.7,1010.8,9.5,23.06,6998.6336405529955,178.44886363636363
2020-02-02,3.622583333333333,17.44666666666667,0.1205,10.570916666666667,21.840416666666666,350,6.6,345,18.0,445,0.0,20.5,17.6,74.0,23.1,19.2,16.2,-,20.6,20.9,-,18.4,1012.7,1006.8,0.5,8.42,8617.198324022347,353.63
2020-02-03,5.29625,12.791083333333333,0.07933333333333333,4.366791666666667,11.082374999999999,333,4.0,330,18.0,512,0.0,22.1,19.0,73.0,25.1,20.2,18.0,-,20.5,20.4,-,18.5,1012.0,1006.2,2.2,14.14,8832.19675925926,421.7758620689655
2020-02-04,3.8804166666666666,14.358458333333333,0.0728695652173913,3.8005,10.642416666666668,320,5.1,318,23.2,637,3.4,21.9,19.4,78.0,27.3,21.4,19.5,-,21.2,21.2,-,18.5,1007.4,1001.6,4.4,17.56,9732.802752293577,450.07865168539325
2020-02-05,8.5265,16.470125,0.082125,7.211791666666667,19.416458333333335,239,2.9,283,19.6,270,0.0,16.8,14.3,75.0,21.8,14.7,13.3,-,18.3,19.8,-,18.5,1012.3,1006.4,7.3,20.51,7411.1399082568805,229.25280898876406
2020-02-06,8.906625,14.761666666666665,0.09670833333333334,6.038916666666666,17.329958333333334,43,2.8,342,9.3,238,0.0,18.0,14.0,62.0,23.7,11.6,7.1,-,16.6,18.5,-,18.6,1018.2,1012.2,12.6,26.73,8923.988532110092,381.9719101123595
2020-02-07,6.064,16.21708333333333,0.11013043478260869,4.294833333333334,14.296291666666667,70,1.8,47,7.7,246,0.0,17.0,13.4,64.0,23.8,10.6,6.9,-,17.8,19.3,-,18.6,1026.3,1020.3,9.0,20.13,7746.837155963302,240.75842696629215
2020-02-08,4.76375,16.622708333333332,0.10270833333333333,5.603041666666667,14.459458333333332,344,7.6,345,16.5,290,0.2,17.9,14.4,66.0,23.1,9.5,5.5,-,17.7,19.0,-,18.6,1016.9,1011.0,8.1,23.24,7572.362385321101,201.96629213483146
2020-02-09,5.620541666666667,15.819875000000001,0.11670833333333334,4.008916666666667,11.093541666666667,129,0.4,279,8.8,169,0.0,11.9,9.8,75.0,21.9,4.8,1.0,-,15.4,18.2,-,18.6,1020.7,1014.6,13.0,27.54,8616.44266055046,401.05056179775283
2020-02-10,11.362708333333332,13.058333333333332,0.12039130434782609,7.4705,18.751375,112,0.4,277,8.2,175,0.0,14.9,12.9,78.0,24.5,7.3,3.6,-,16.2,18.4,-,18.5,1021.4,1015.4,12.9,27.04,8916.165137614678,428.13483146067415
2020-02-11,6.853000000000001,13.847916666666668,0.09745833333333333,4.904708333333333,14.146500000000001,6,2.2,247,8.8,207,0.0,17.4,14.6,72.0,24.6,9.5,5.5,-,18.2,19.4,-,18.5,1019.7,1013.7,9.3,22.53,9175.814220183487,440.9157303370786
2020-02-12,9.876958333333333,19.382458333333336,0.10966666666666668,8.207791666666667,20.260875,75,1.0,357,9.8,296,0.0,17.0,14.4,74.0,28.1,13.3,9.0,-,19.7,20.4,-,18.5,1020.9,1014.9,11.7,23.51,9413.782710280373,442.85955056179773
2020-02-13,8.341826086956521,15.154874999999999,0.10808695652173912,7.227166666666666,17.74416666666667,348,3.6,335,11.3,198,0.0,18.4,15.3,70.0,22.8,16.0,11.4,-,19.6,20.5,-,18.5,1017.6,1011.7,5.6,16.89,9726.98623853211,448.4831460674157
2020-02-14,10.239749999999999,13.803208333333332,0.12070833333333335,5.925291666666666,15.094291666666665,214,0.6,262,9.3,180,0.0,16.6,15.0,83.0,26.2,10.1,6.9,-,17.8,19.4,-,18.6,1021.6,1015.6,11.6,22.04,8666.800925925925,282.0
2020-02-15,12.141833333333333,15.721083333333333,0.11583333333333333,5.362375,12.23175,104,0.5,265,8.8,172,0.0,18.7,15.6,71.0,28.0,10.6,6.1,-,18.1,19.6,-,18.6,1022.6,1016.6,11.5,20.01,7420.061926605505,212.2078651685393
2020-02-16,5.500166666666666,20.628125,0.10117391304347825,7.389500000000001,16.260208333333335,356,4.0,317,16.5,446,4.4,21.1,17.1,65.0,27.3,16.3,12.9,-,19.9,20.7,-,18.6,1018.5,1012.6,6.6,19.03,8510.454128440368,388.3707865168539
2020-02-17,5.893166666666667,18.460416666666667,0.08366666666666667,3.468291666666667,12.831791666666668,322,3.2,315,13.9,213,0.0,20.4,18.6,83.0,23.5,19.3,17.5,-,20.3,21.1,-,18.6,1017.2,1011.3,0.0,5.21,8769.39953271028,397.31176470588235
2020-02-18,9.73075,16.908958333333334,0.10212500000000001,2.939666666666666,6.281791666666667,15,2.6,318,8.2,200,4.4,22.2,19.6,77.0,22.6,19.0,17.1,-,20.0,20.1,-,18.6,1016.3,1010.4,0.2,6.87,9064.52358490566,411.3614457831325
2020-02-19,9.56495652173913,12.760458333333332,0.11591304347826087,1.3564583333333333,7.734166666666667,303,3.3,347,11.3,271,0.0,21.0,19.4,85.0,26.1,18.9,16.7,-,19.6,19.8,-,18.6,1011.2,1005.3,10.1,22.53,9217.858490566037,415.9759036144578
2020-02-20,10.296083333333334,18.519000000000002,0.10008333333333334,4.47325,7.2755,255,1.8,276,7.7,210,0.0,17.3,16.1,88.0,25.5,14.7,10.4,-,18.7,19.8,-,18.6,1012.6,1006.7,6.1,17.01,9375.908018867925,413.5240963855422
2020-02-21,7.465166666666666,15.708416666666666,0.09466666666666668,3.2430416666666666,7.103291666666666,357,4.2,326,17.0,423,3.4,19.0,16.9,80.0,25.9,16.0,11.7,-,19.0,20.0,-,18.7,1010.4,1004.5,0.8,10.98,8280.283018867925,249.65060240963857
2020-02-22,5.578833333333333,19.14875,0.08934782608695653,4.48025,13.059624999999999,353,2.8,278,13.9,327,26.0,20.1,17.3,74.0,24.5,19.0,17.6,-,19.0,19.8,-,18.7,1008.6,1002.7,9.3,22.11,7420.205188679245,195.34337349397592
2020-02-23,4.213291666666667,17.000791666666668,0.08600000000000001,5.371416666666668,13.528458333333333,267,1.1,248,11.3,195,0.0,13.1,11.9,86.0,18.8,11.6,11.1,-,16.7,18.8,-,18.8,1019.6,1013.5,6.6,15.10,8719.568396226416,383.22289156626505
2020-02-24,11.553791666666667,12.426583333333333,0.13120833333333334,3.5045416666666664,9.653333333333334,125,0.4,61,9.3,159,0.0,10.3,10.0,96.0,24.0,5.1,2.1,-,13.8,16.8,-,18.8,1025.5,1019.3,12.0,23.53,8977.115566037735,428.59638554216866
2020-02-25,16.177695652173913,11.59275,0.1908695652173913,4.73325,9.796125,105,0.6,107,7.2,144,0.0,12.1,11.7,95.0,26.6,6.1,2.2,-,14.5,17.2,-,18.7,1020.5,1014.4,12.2,24.81,9162.224299065421,424.88235294117646
2020-02-26,15.514000000000001,13.674375,0.15937500000000002,2.840291666666667,7.555791666666667,163,0.5,256,8.8,161,0.0,14.7,13.7,89.0,28.4,9.6,5.2,-,16.1,18.1,-,18.6,1018.0,1012.0,12.3,24.14,8910.154205607476,416.11764705882354
2020-02-27,7.536375,20.071749999999998,0.08537499999999999,1.93475,8.804333333333334,359,2.3,354,12.9,294,0.0,20.0,16.6,69.0,24.2,11.1,7.0,-,17.7,18.9,-,18.6,1015.9,1010.0,10.5,23.05,9357.121495327103,410.90588235294115
2020-02-28,7.366458333333334,16.609083333333334,0.08852173913043479,3.96575,5.9050416666666665,18,3.1,312,12.9,458,10.4,19.4,16.1,69.0,24.9,14.6,10.6,-,17.8,18.9,-,18.6,1014.4,1008.5,10.7,22.48,7999.2453271028035,224.04117647058823
2020-02-29,4.955625,20.312625,0.07020833333333333,6.446083333333333,16.586666666666666,344,4.2,317,15.4,189,1.8,19.0,17.9,89.0,21.2,18.7,17.1,-,19.2,19.9,-,18.6,1010.6,1004.7,7.6,15.29,7600.7663551401865,216.72941176470587
2020-03-01,12.653708333333334,13.298625000000001,0.13320833333333335,6.228666666666666,12.332291666666668,131,0.4,245,8.8,173,0.0,10.8,10.6,97.0,25.9,5.5,2.0,-,14.3,17.2,-,18.7,1023.6,1017.5,11.5,23.22,8413.22625698324,353.41
2020-03-02,13.901130434782608,14.291083333333333,0.13104347826086957,6.013166666666667,11.086083333333333,228,0.6,359,7.7,170,0.0,14.9,13.6,86.0,24.3,10.8,8.1,-,16.4,18.1,-,18.6,1023.2,1017.2,2.4,7.61,8718.193396226416,409.0722891566265
2020-03-03,7.575083333333333,21.988541666666666,0.08133333333333333,8.6205,16.356833333333334,330,3.2,320,14.9,376,5.4,20.7,18.2,77.0,24.8,14.9,14.6,-,18.1,18.7,-,18.6,1014.1,1008.2,3.0,11.71,8882.073113207547,397.16265060240966
2020-03-04,5.793916666666667,17.174291666666665,0.07342857142857143,8.853375,17.7695,254,3.0,244,13.4,235,0.0,16.8,15.8,90.0,17.2,16.4,15.6,-,18.8,19.6,-,18.5,1011.6,1005.7,2.5,8.83,9082.382075471698,417.5421686746988
2020-03-05,8.167958333333333,18.629416666666668,0.11682608695652173,6.430541666666667,17.574,272,0.8,157,12.9,291,0.0,9.5,8.6,88.0,19.1,3.0,-0.5,-,13.0,16.3,-,18.6,1027.1,1020.9,8.8,18.08,9372.77358490566,411.28915662650604
2020-03-06,13.337458333333332,17.043916666666668,0.13908333333333334,4.298,11.462458333333332,76,2.7,52,12.4,259,0.0,15.7,12.0,62.0,21.5,9.5,9.2,-,15.5,16.9,-,18.5,1028.8,1022.7,8.2,17.93,8594.254716981131,243.79518072289156
2020-03-07,10.907208333333335,15.571125,0.149125,3.453208333333333,7.668458333333334,98,0.3,355,9.3,172,0.0,9.9,9.6,96.0,23.6,3.9,-0.3,-,13.1,15.9,-,18.4,1024.2,1018.0,11.6,21.76,7448.01179245283,194.65662650602408
2020-03-08,8.521434782608695,21.332041666666665,0.10565217391304349,3.889958333333333,6.750375000000001,149,0.6,310,9.8,207,1.2,12.7,12.1,93.0,24.6,6.3,2.1,-,14.2,16.4,-,18.3,1015.8,1009.8,11.0,21.59,8353.966666666667,359.3333333333333
2020-03-09,9.529583333333333,19.146208333333334,0.101125,3.360583333333333,9.179708333333332,60,1.4,357,16.0,327,0.6,16.8,15.6,88.0,23.0,12.3,9.0,-,16.7,17.7,-,18.2,1009.9,1004.0,4.5,15.97,8853.704326923076,427.44117647058823
2020-03-10,7.645583333333334,18.175541666666668,0.089125,4.374333333333333,10.3605,342,3.9,243,10.8,284,0.0,18.8,15.8,72.0,23.8,16.7,14.0,-,17.3,18.2,-,18.1,1003.3,997.4,8.3,18.15,8956.203703703704,434.7647058823529
2020-03-11,7.286333333333334,16.553083333333333,0.09508695652173912,4.847333333333333,14.673416666666666,171,1.8,166,12.4,218,0.0,15.4,12.1,66.0,17.4,13.0,8.6,-,16.8,18.0,-,18.2,1013.1,1007.1,2.2,10.82,9159.36214953271,433.83734939759034
2020-03-12,8.552208333333335,16.617250000000002,0.10608333333333332,5.101708333333334,15.396583333333334,199,0.8,149,9.3,168,0.0,13.6,10.4,64.0,19.0,11.4,7.9,-,15.4,16.9,-,18.2,1022.7,1016.6,7.2,15.54,9422.714953271028,433.95180722891564
2020-03-13,11.948708333333334,12.550125000000001,0.13754166666666667,4.839041666666667,14.819,207,0.3,29,6.2,113,0.0,8.6,8.4,97.0,22.9,3.2,-1.5,-,12.6,15.7,-,18.2,1026.0,1019.8,11.6,21.27,8242.21261682243,263.5843373493976
