Date,Daily Average CO (mg/m3),Daily Average NO (ug/m3),Daily Average NO2 (ug/m3),Daily Average SO2 (ug/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2020-01-01,0.24532955,30.019470072727277,21.87621193181818,2.4708333227272727,9.482608695652173,25.756521739130434,35,1.4,191,9.8,166,0.0,18.2,16.2,80.0,31.2,14.1,-,-,-,-,-,-,1010.5,1009.8,-,13.61,4695.569343065694,241.7479674796748
2020-01-02,0.2742898586956522,26.078985486956523,16.84949283478261,2.6045652086956523,15.1875,24.49166666666667,308,1.2,202,9.3,231,0.0,17.4,14.9,75.0,22.6,14.2,-,-,-,-,-,-,1010.1,1009.4,-,23.02,5257.5,387.5731707317073
2020-01-03,0.25541305,31.49891295652174,19.87050726521739,2.2674637739130437,6.595833333333334,14.275,207,2.2,32,7.7,173,1.8,17.4,14.6,72.0,19.1,14.1,-,-,-,-,-,-,1003.7,1003.0,-,7.42,4770.377697841726,280.2479674796748
2020-01-04,0.10002898478260869,12.947028947826086,11.675289852173913,1.918478239130435,3.1625,12.262500000000001,231,1.4,202,9.8,239,0.0,14.3,11.2,66.0,18.7,9.6,-,-,-,-,-,-,1006.7,1006.0,-,28.06,4637.741007194245,236.65040650406505
2020-01-05,0.1545797152173913,16.044275143478263,13.878913086956523,2.0638405782608693,6.254166666666666,22.204166666666666,59,3.8,279,12.4,301,0.0,13.1,11.6,82.0,28.8,8.8,-,-,-,-,-,-,1001.7,1001.0,-,19.62,5728.804964539007,492.516
2020-01-06,0.16925362826086957,48.51623193478261,22.683188665217394,2.090217373913043,4.570833333333334,20.7625,19,1.8,259,12.9,289,1.0,16.6,11.7,52.0,23.9,11.4,-,-,-,-,-,-,996.0,995.3,-,21.55,5224.856707317073,484.9535714285714
2020-01-07,0.11053984565217391,24.51891300869565,15.279782717391305,2.0863767826086956,3.3041666666666667,17.083333333333332,207,6.0,235,14.4,315,0.0,14.1,10.5,61.0,18.5,11.5,-,-,-,-,-,-,1008.7,1008.0,-,27.66,5263.823529411765,495.7945205479452
2020-01-08,0.1817539540513834,64.6439129347826,31.239130347826087,2.1254347869565215,3.8000000000000003,13.950000000000001,233,1.7,40,8.2,193,0.0,13.2,9.6,60.0,18.4,10.9,-,-,-,-,-,-,1017.3,1016.6,-,18.21,5472.964705882353,512.2123287671233
2020-01-09,0.19965797826086956,74.66427562173912,33.02891300434783,1.759927547826087,3.4125,15.954166666666666,60,2.1,41,8.8,204,0.0,17.5,13.9,65.0,25.5,11.1,-,-,-,-,-,-,1014.3,1013.6,-,24.32,5457.81043956044,481.3322784810127
2020-01-10,0.18655797391304346,64.81246398260869,27.726811304347827,1.7310144739130435,3.6291666666666664,12.575000000000001,61,2.5,77,8.8,332,0.0,14.0,10.4,61.0,18.9,12.9,-,-,-,-,-,-,1018.9,1018.2,-,22.83,4533.8125,275.953125
